Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,3,239
java.io,23,8,457
java.lang,35,9,402
java.lang.reflect,21,5,266
java.net,28,11,441
java.nio.channels,15,4,254
java.security,25,7,416
sun.net.sdp,9,3,270
sun.nio.ch,19,5,308
com.oracle.nio,6,3,164
java.nio,12,4,216
sun.misc,38,11,493
com.oracle.webservices.internal.api,7,3,249
java.lang.annotation,3,2,234
javax.xml.ws,17,5,393
javax.xml.ws.http,2,2,235
javax.xml.ws.soap,7,3,249
javax.xml.ws.spi,15,5,395
com.oracle.webservices.internal.api.databinding,16,5,394
com.oracle.webservices.internal.api.message,15,3,321
com.sun.xml.internal.ws.api,31,5,379
com.sun.xml.internal.ws.api.databinding,22,4,369
com.sun.xml.internal.ws.model,51,8,527
java.util,35,11,496
javax.xml.namespace,6,3,270
javax.xml.transform,7,2,214
org.xml.sax,4,2,217
com.sun.xml.internal.ws.api.message,54,8,479
com.sun.xml.internal.ws.encoding,50,8,500
com.sun.xml.internal.ws.util,38,6,450
javax.xml.soap,9,6,419
com.oracle.webservices.internal.impl.encoding,9,4,361
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,233
com.sun.xml.internal.ws.api.streaming,17,6,470
com.sun.xml.internal.ws.streaming,22,7,484
javax.xml.stream,9,4,299
com.sun.accessibility.internal.resources,2,1,120
com.sun.activation.registries,5,2,232
java.util.logging,20,8,438
com.sun.awt,5,3,173
java.awt,45,9,358
java.awt.geom,7,3,171
sun.awt,62,9,341
com.sun.beans,6,2,231
java.lang.ref,7,2,136
sun.reflect.generics.reflectiveObjects,10,2,227
com.sun.beans.decoder,14,4,342
com.sun.beans.finder,9,3,248
java.beans,27,6,423
javax.xml.parsers,10,4,262
org.xml.sax.helpers,6,2,215
sun.reflect.misc,11,5,356
com.sun.beans.editors,6,3,172
com.sun.beans.util,4,2,138
com.sun.beans.infos,3,3,175
com.sun.corba.se.impl.activation,26,5,346
com.sun.corba.se.impl.legacy.connection,17,6,382
com.sun.corba.se.impl.logging,7,3,251
com.sun.corba.se.impl.naming.cosnaming,16,4,257
com.sun.corba.se.impl.naming.pcosnaming,18,4,255
com.sun.corba.se.impl.oa.poa,30,4,243
com.sun.corba.se.impl.orbutil,28,6,362
com.sun.corba.se.impl.transport,34,7,386
com.sun.corba.se.pept.transport,9,5,254
com.sun.corba.se.spi.activation,9,2,191
com.sun.corba.se.spi.activation.LocatorPackage,5,2,195
com.sun.corba.se.spi.activation.RepositoryPackage,4,2,196
com.sun.corba.se.spi.ior,16,2,184
com.sun.corba.se.spi.ior.iiop,11,2,189
com.sun.corba.se.spi.legacy.connection,7,3,292
com.sun.corba.se.spi.logging,4,2,196
com.sun.corba.se.spi.orb,38,6,370
com.sun.corba.se.spi.protocol,22,4,214
com.sun.corba.se.spi.transport,21,6,341
org.omg.CORBA,15,6,402
org.omg.CosNaming,9,3,206
com.sun.corba.se.impl.copyobject,10,3,248
com.sun.corba.se.impl.util,24,5,348
com.sun.corba.se.spi.copyobject,5,2,195
java.rmi,8,3,271
org.omg.CORBA.portable,7,3,222
org.omg.CORBA_2_3.portable,6,2,194
com.sun.corba.se.impl.corba,21,5,281
com.sun.corba.se.impl.encoding,39,7,383
com.sun.corba.se.impl.io,21,3,237
com.sun.corba.se.pept.encoding,3,2,134
com.sun.corba.se.spi.presentation.rmi,17,4,256
java.math,7,2,144
javax.rmi.CORBA,14,4,343
org.omg.CORBA.TypeCodePackage,2,2,198
sun.corba,18,6,391
com.sun.corba.se.impl.dynamicany,16,5,286
org.omg.CORBA.ORBPackage,2,2,198
org.omg.DynamicAny,8,3,207
org.omg.DynamicAny.DynAnyFactoryPackage,4,3,211
org.omg.DynamicAny.DynAnyPackage,4,3,211
com.sun.corba.se.impl.protocol,36,5,258
com.sun.corba.se.impl.protocol.giopmsgheaders,21,4,258
com.sun.corba.se.pept.protocol,7,3,208
com.sun.corba.se.spi.encoding,6,3,209
com.sun.org.omg.CORBA,5,2,195
