Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,6,151
java.io,23,12,324
java.lang,35,16,378
java.lang.reflect,21,12,326
java.net,28,12,322
java.nio.channels,15,5,213
java.security,25,13,364
sun.net.sdp,9,6,179
sun.nio.ch,19,9,278
com.oracle.nio,6,4,125
java.nio,12,8,184
sun.misc,38,16,375
com.oracle.webservices.internal.api,7,3,164
java.lang.annotation,3,2,54
javax.xml.ws,17,6,240
javax.xml.ws.http,2,2,152
javax.xml.ws.soap,7,4,204
javax.xml.ws.spi,15,5,200
com.oracle.webservices.internal.api.databinding,16,7,248
com.oracle.webservices.internal.api.message,15,7,246
com.sun.xml.internal.ws.api,31,9,264
com.sun.xml.internal.ws.api.databinding,22,8,250
com.sun.xml.internal.ws.model,51,11,281
java.util,35,16,361
javax.xml.namespace,6,5,165
javax.xml.transform,7,5,136
org.xml.sax,4,4,138
com.sun.xml.internal.ws.api.message,54,10,283
com.sun.xml.internal.ws.encoding,50,15,362
com.sun.xml.internal.ws.util,38,10,298
javax.xml.soap,9,4,139
com.oracle.webservices.internal.impl.encoding,9,4,185
com.oracle.webservices.internal.impl.internalspi.encoding,4,3,173
com.sun.xml.internal.ws.api.streaming,17,9,281
com.sun.xml.internal.ws.streaming,22,8,247
javax.xml.stream,9,7,254
com.sun.accessibility.internal.resources,2,2,85
com.sun.activation.registries,5,5,244
java.util.logging,20,10,292
com.sun.awt,5,4,152
java.awt,45,14,347
java.awt.geom,7,5,145
sun.awt,62,13,326
com.sun.beans,6,3,85
java.lang.ref,7,6,162
sun.reflect.generics.reflectiveObjects,10,4,96
com.sun.beans.decoder,14,9,211
com.sun.beans.finder,9,5,100
java.beans,27,12,272
javax.xml.parsers,10,5,161
org.xml.sax.helpers,6,5,165
sun.reflect.misc,11,9,217
com.sun.beans.editors,6,4,107
com.sun.beans.util,4,3,86
com.sun.beans.infos,3,2,84
com.sun.corba.se.impl.activation,26,8,174
com.sun.corba.se.impl.legacy.connection,17,6,185
com.sun.corba.se.impl.logging,7,4,222
com.sun.corba.se.impl.naming.cosnaming,16,6,270
com.sun.corba.se.impl.naming.pcosnaming,18,6,175
com.sun.corba.se.impl.oa.poa,30,9,172
com.sun.corba.se.impl.orbutil,28,7,190
com.sun.corba.se.impl.transport,34,10,211
com.sun.corba.se.pept.transport,9,4,168
com.sun.corba.se.spi.activation,9,6,184
com.sun.corba.se.spi.activation.LocatorPackage,5,4,131
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,132
com.sun.corba.se.spi.ior,16,5,169
com.sun.corba.se.spi.ior.iiop,11,2,115
com.sun.corba.se.spi.legacy.connection,7,5,178
com.sun.corba.se.spi.logging,4,4,257
com.sun.corba.se.spi.orb,38,11,303
com.sun.corba.se.spi.protocol,22,7,188
com.sun.corba.se.spi.transport,21,8,187
org.omg.CORBA,15,8,218
org.omg.CosNaming,9,5,176
com.sun.corba.se.impl.copyobject,10,4,141
com.sun.corba.se.impl.util,24,9,241
com.sun.corba.se.spi.copyobject,5,3,123
java.rmi,8,6,172
org.omg.CORBA.portable,7,6,163
org.omg.CORBA_2_3.portable,6,5,174
com.sun.corba.se.impl.corba,21,7,208
com.sun.corba.se.impl.encoding,39,10,214
com.sun.corba.se.impl.io,21,9,232
com.sun.corba.se.pept.encoding,3,3,146
com.sun.corba.se.spi.presentation.rmi,17,7,154
java.math,7,7,255
javax.rmi.CORBA,14,8,211
org.omg.CORBA.TypeCodePackage,2,2,53
sun.corba,18,10,233
com.sun.corba.se.impl.dynamicany,16,5,150
org.omg.CORBA.ORBPackage,2,2,53
org.omg.DynamicAny,8,5,177
org.omg.DynamicAny.DynAnyFactoryPackage,4,3,124
org.omg.DynamicAny.DynAnyPackage,4,3,124
com.sun.corba.se.impl.protocol,36,9,304
com.sun.corba.se.impl.protocol.giopmsgheaders,21,7,185
com.sun.corba.se.pept.protocol,7,3,153
com.sun.corba.se.spi.encoding,6,2,90
com.sun.org.omg.CORBA,5,4,146
com.sun.org.omg.CORBA.ValueDefPackage,5,4,126
com.sun.org.omg.CORBA.portable,3,3,125
com.sun.org.omg.SendingContext,10,6,178
java.nio.charset,11,6,177
org.omg.SendingContext,4,3,124
com.sun.corba.se.impl.interceptors,41,8,160
com.sun.corba.se.pept.broker,3,2,123
com.sun.corba.se.spi.legacy.interceptor,5,2,121
com.sun.corba.se.spi.oa,17,4,114
com.sun.corba.se.spi.orbutil.closure,3,2,54
com.sun.corba.se.spi.resolver,8,7,189
com.sun.corba.se.spi.servicecontext,20,7,172
org.omg.Dynamic,3,3,125
org.omg.IOP,6,3,122
org.omg.IOP.CodecFactoryPackage,4,3,124
org.omg.IOP.CodecPackage,4,3,124
org.omg.Messaging,3,3,125
org.omg.PortableInterceptor,9,4,142
org.omg.PortableInterceptor.ORBInitInfoPackage,4,3,124
org.omg.PortableServer,13,6,176
com.sun.corba.se.impl.ior,24,7,201
com.sun.corba.se.impl.ior.iiop,22,5,144
com.sun.corba.se.impl.javax.rmi,8,5,152
java.rmi.server,16,8,254
com.sun.corba.se.impl.javax.rmi.CORBA,28,10,203
com.sun.corba.se.impl.presentation.rmi,28,9,230
javax.transaction,2,1,51
com.sun.corba.se.impl.monitoring,4,3,91
com.sun.corba.se.spi.monitoring,5,4,113
com.sun.corba.se.impl.naming.namingutil,8,5,177
com.sun.corba.se.org.omg.CORBA,4,3,124
org.omg.CosNaming.NamingContextExtPackage,4,3,124
org.omg.CosNaming.NamingContextPackage,5,3,123
org.omg.PortableServer.POAPackage,4,3,124
org.omg.PortableServer.ServantLocatorPackage,3,3,125
com.sun.corba.se.impl.oa,3,3,125
com.sun.corba.se.impl.orbutil.concurrent,4,4,127
com.sun.corba.se.spi.extension,5,3,123
com.sun.corba.se.spi.orbutil.fsm,6,5,181
org.omg.PortableServer.CurrentPackage,4,3,124
org.omg.PortableServer.POAManagerPackage,4,3,124
org.omg.PortableServer.portable,3,3,125
com.sun.corba.se.impl.oa.toa,23,6,144
com.sun.corba.se.impl.orb,55,11,181
com.sun.corba.se.impl.orbutil.threadpool,12,8,227
com.sun.corba.se.spi.orbutil.threadpool,3,3,146
java.applet,9,5,162
java.text,16,8,264
com.sun.corba.se.impl.orbutil.closure,2,2,55
com.sun.corba.se.impl.orbutil.fsm,6,5,160
com.sun.corba.se.impl.orbutil.graph,3,3,86
java.util.concurrent.atomic,11,9,297
com.sun.corba.se.spi.orbutil.proxy,10,8,210
javax.rmi,12,8,249
org.omg.CORBA_2_3,3,3,125
java.util.concurrent,14,11,318
com.sun.corba.se.impl.resolver,19,7,178
org.omg.stub.java.rmi,3,2,123
com.sun.corba.se.internal.CosNaming,8,6,185
com.sun.corba.se.internal.Interceptors,1,1,2
com.sun.corba.se.internal.POA,1,1,2
com.sun.corba.se.internal.iiop,1,1,72
com.sun.corba.se.internal.corba,1,1,72
com.sun.corba.se.spi.activation.InitialNameServicePackage,4,4,132
com.sun.imageio.plugins.bmp,17,7,162
com.sun.imageio.plugins.common,11,4,118
java.awt.color,6,5,152
java.awt.image,11,6,177
javax.imageio,16,8,195
javax.imageio.event,4,3,102
javax.imageio.metadata,8,6,154
javax.imageio.plugins.bmp,4,4,106
javax.imageio.spi,18,9,184
javax.imageio.stream,10,5,136
org.w3c.dom,2,2,74
com.sun.imageio.plugins.gif,15,5,131
sun.awt.image,32,11,322
com.sun.imageio.plugins.jpeg,16,6,146
javax.imageio.plugins.jpeg,5,4,105
sun.java2d,24,10,228
com.sun.imageio.plugins.png,15,4,114
java.util.zip,14,9,298
com.sun.imageio.plugins.wbmp,12,4,117
com.sun.imageio.spi,5,4,124
com.sun.imageio.stream,7,5,151
com.sun.istack.internal,12,6,269
javax.activation,9,6,200
com.sun.istack.internal.localization,4,3,184
com.sun.istack.internal.logging,3,3,185
com.sun.java.swing,37,11,314
javax.swing,53,16,329
com.sun.java.swing.plaf.gtk,36,11,248
java.awt.event,11,6,191
javax.accessibility,10,5,135
javax.swing.border,8,4,140
