Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,5,146
java.io,23,13,181
java.lang,35,20,226
java.lang.reflect,21,10,179
java.net,28,15,195
java.nio.channels,15,8,151
java.security,25,15,224
sun.net.sdp,9,7,171
sun.nio.ch,19,12,174
com.oracle.nio,6,4,147
java.nio,12,8,177
sun.misc,38,22,235
com.oracle.webservices.internal.api,7,2,144
java.lang.annotation,3,1,144
javax.xml.ws,17,8,146
javax.xml.ws.http,2,1,145
javax.xml.ws.soap,7,2,142
javax.xml.ws.spi,15,6,144
com.oracle.webservices.internal.api.databinding,16,4,137
com.oracle.webservices.internal.api.message,15,4,140
com.sun.xml.internal.ws.api,31,10,144
com.sun.xml.internal.ws.api.databinding,22,8,158
com.sun.xml.internal.ws.model,51,16,141
java.util,35,16,194
javax.xml.namespace,6,3,145
javax.xml.transform,7,4,146
org.xml.sax,4,2,145
com.sun.xml.internal.ws.api.message,54,17,140
com.sun.xml.internal.ws.encoding,50,16,146
com.sun.xml.internal.ws.util,38,16,150
javax.xml.soap,9,3,142
com.oracle.webservices.internal.impl.encoding,9,2,140
com.oracle.webservices.internal.impl.internalspi.encoding,4,1,143
com.sun.xml.internal.ws.api.streaming,17,4,136
com.sun.xml.internal.ws.streaming,22,6,136
javax.xml.stream,9,5,170
com.sun.accessibility.internal.resources,2,2,147
com.sun.activation.registries,5,2,144
java.util.logging,20,10,160
com.sun.awt,5,3,147
java.awt,45,14,158
java.awt.geom,7,5,149
sun.awt,62,19,175
com.sun.beans,6,5,157
java.lang.ref,7,6,160
sun.reflect.generics.reflectiveObjects,10,3,147
com.sun.beans.decoder,14,6,145
com.sun.beans.finder,9,4,146
java.beans,27,10,141
javax.xml.parsers,10,5,145
org.xml.sax.helpers,6,3,145
sun.reflect.misc,11,7,192
com.sun.beans.editors,6,5,151
com.sun.beans.util,4,4,151
com.sun.beans.infos,3,3,148
com.sun.corba.se.impl.activation,26,9,192
com.sun.corba.se.impl.legacy.connection,17,6,192
com.sun.corba.se.impl.logging,7,3,196
com.sun.corba.se.impl.naming.cosnaming,16,6,194
com.sun.corba.se.impl.naming.pcosnaming,18,7,196
com.sun.corba.se.impl.oa.poa,30,11,212
com.sun.corba.se.impl.orbutil,28,8,186
com.sun.corba.se.impl.transport,34,13,190
com.sun.corba.se.pept.transport,9,5,198
com.sun.corba.se.spi.activation,9,5,200
com.sun.corba.se.spi.activation.LocatorPackage,5,4,202
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,203
com.sun.corba.se.spi.ior,16,7,197
com.sun.corba.se.spi.ior.iiop,11,4,195
com.sun.corba.se.spi.legacy.connection,7,5,200
com.sun.corba.se.spi.logging,4,3,199
com.sun.corba.se.spi.orb,38,13,186
com.sun.corba.se.spi.protocol,22,6,188
com.sun.corba.se.spi.transport,21,10,196
org.omg.CORBA,15,7,230
org.omg.CosNaming,9,5,199
com.sun.corba.se.impl.copyobject,10,4,195
com.sun.corba.se.impl.util,24,11,202
com.sun.corba.se.spi.copyobject,5,3,198
java.rmi,8,6,156
org.omg.CORBA.portable,7,4,210
org.omg.CORBA_2_3.portable,6,4,199
com.sun.corba.se.impl.corba,21,9,207
com.sun.corba.se.impl.encoding,39,12,195
com.sun.corba.se.impl.io,21,7,191
com.sun.corba.se.pept.encoding,3,2,198
com.sun.corba.se.spi.presentation.rmi,17,9,199
java.math,7,3,156
javax.rmi.CORBA,14,10,210
org.omg.CORBA.TypeCodePackage,2,2,147
sun.corba,18,7,194
com.sun.corba.se.impl.dynamicany,16,5,225
org.omg.CORBA.ORBPackage,2,2,147
org.omg.DynamicAny,8,4,197
org.omg.DynamicAny.DynAnyFactoryPackage,4,3,199
org.omg.DynamicAny.DynAnyPackage,4,3,199
com.sun.corba.se.impl.protocol,36,11,185
com.sun.corba.se.impl.protocol.giopmsgheaders,21,7,191
com.sun.corba.se.pept.protocol,7,4,198
com.sun.corba.se.spi.encoding,6,4,199
