Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,9,1
java.io,23,22,4
java.lang,35,35,10
java.lang.reflect,21,21,7
java.net,28,27,5
java.nio.channels,15,15,3
java.security,25,25,10
sun.net.sdp,9,8,0
sun.nio.ch,19,18,2
com.oracle.nio,6,6,1
java.nio,12,11,2
sun.misc,38,33,8
com.oracle.webservices.internal.api,7,7,4
java.lang.annotation,3,3,2
javax.xml.ws,17,17,6
javax.xml.ws.http,2,2,1
javax.xml.ws.soap,7,7,3
javax.xml.ws.spi,15,15,5
com.oracle.webservices.internal.api.databinding,16,16,4
com.oracle.webservices.internal.api.message,15,15,8
com.sun.xml.internal.ws.api,31,29,8
com.sun.xml.internal.ws.api.databinding,22,20,7
com.sun.xml.internal.ws.model,51,47,12
java.util,35,33,7
javax.xml.namespace,6,6,3
javax.xml.transform,7,7,1
org.xml.sax,4,4,1
com.sun.xml.internal.ws.api.message,54,48,8
com.sun.xml.internal.ws.encoding,50,47,13
com.sun.xml.internal.ws.util,38,35,9
javax.xml.soap,9,9,3
com.oracle.webservices.internal.impl.encoding,9,9,4
com.oracle.webservices.internal.impl.internalspi.encoding,4,4,3
com.sun.xml.internal.ws.api.streaming,17,17,6
com.sun.xml.internal.ws.streaming,22,21,10
javax.xml.stream,9,9,1
com.sun.accessibility.internal.resources,2,2,0
com.sun.activation.registries,5,5,1
java.util.logging,20,20,4
com.sun.awt,5,5,1
java.awt,45,42,6
java.awt.geom,7,7,2
sun.awt,62,46,-1
com.sun.beans,6,6,0
java.lang.ref,7,7,1
sun.reflect.generics.reflectiveObjects,10,9,3
com.sun.beans.decoder,14,14,2
com.sun.beans.finder,9,9,1
java.beans,27,27,8
javax.xml.parsers,10,10,1
org.xml.sax.helpers,6,6,1
sun.reflect.misc,11,11,3
com.sun.beans.editors,6,6,2
com.sun.beans.util,4,4,0
com.sun.beans.infos,3,3,1
com.sun.corba.se.impl.activation,26,26,7
com.sun.corba.se.impl.legacy.connection,17,17,5
com.sun.corba.se.impl.logging,7,7,2
com.sun.corba.se.impl.naming.cosnaming,16,16,5
com.sun.corba.se.impl.naming.pcosnaming,18,17,4
com.sun.corba.se.impl.oa.poa,30,27,10
com.sun.corba.se.impl.orbutil,28,28,10
com.sun.corba.se.impl.transport,34,30,5
com.sun.corba.se.pept.transport,9,7,1
com.sun.corba.se.spi.activation,9,9,2
com.sun.corba.se.spi.activation.LocatorPackage,5,5,1
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,1
com.sun.corba.se.spi.ior,16,16,5
com.sun.corba.se.spi.ior.iiop,11,11,1
com.sun.corba.se.spi.legacy.connection,7,7,3
com.sun.corba.se.spi.logging,4,4,1
com.sun.corba.se.spi.orb,38,37,13
com.sun.corba.se.spi.protocol,22,21,8
com.sun.corba.se.spi.transport,21,19,6
org.omg.CORBA,15,14,4
org.omg.CosNaming,9,9,3
com.sun.corba.se.impl.copyobject,10,10,4
com.sun.corba.se.impl.util,24,23,8
com.sun.corba.se.spi.copyobject,5,4,1
java.rmi,8,8,2
org.omg.CORBA.portable,7,7,2
org.omg.CORBA_2_3.portable,6,6,2
com.sun.corba.se.impl.corba,21,21,9
com.sun.corba.se.impl.encoding,39,35,10
com.sun.corba.se.impl.io,21,21,5
com.sun.corba.se.pept.encoding,3,3,2
com.sun.corba.se.spi.presentation.rmi,17,17,6
java.math,7,7,1
javax.rmi.CORBA,14,14,6
org.omg.CORBA.TypeCodePackage,2,2,1
sun.corba,18,18,7
com.sun.corba.se.impl.dynamicany,16,15,4
org.omg.CORBA.ORBPackage,2,2,1
org.omg.DynamicAny,8,8,2
org.omg.DynamicAny.DynAnyFactoryPackage,4,4,1
org.omg.DynamicAny.DynAnyPackage,4,4,1
com.sun.corba.se.impl.protocol,36,33,13
com.sun.corba.se.impl.protocol.giopmsgheaders,21,21,7
com.sun.corba.se.pept.protocol,7,5,0
com.sun.corba.se.spi.encoding,6,6,4
com.sun.org.omg.CORBA,5,5,2
com.sun.org.omg.CORBA.ValueDefPackage,5,5,1
