Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,9,151
java.io,23,20,329
java.lang,35,25,397
java.lang.reflect,21,20,331
java.net,28,20,308
java.nio.channels,15,12,209
java.security,25,22,359
sun.net.sdp,9,9,135
sun.nio.ch,19,16,269
com.oracle.nio,6,6,122
java.nio,12,11,196
sun.misc,38,25,394
com.oracle.webservices.internal.api,7,7,105
java.lang.annotation,3,3,45
javax.xml.ws,17,14,207
javax.xml.ws.http,2,2,30
javax.xml.ws.soap,7,7,121
javax.xml.ws.spi,15,12,177
com.oracle.webservices.internal.api.databinding,16,15,240
com.oracle.webservices.internal.api.message,15,15,241
com.sun.xml.internal.ws.api,31,22,353
com.sun.xml.internal.ws.api.databinding,22,17,266
com.sun.xml.internal.ws.model,51,31,477
java.util,35,30,477
javax.xml.namespace,6,6,90
javax.xml.transform,7,7,105
org.xml.sax,4,4,60
com.sun.xml.internal.ws.api.message,54,32,490
com.sun.xml.internal.ws.encoding,50,33,510
com.sun.xml.internal.ws.util,38,26,410
javax.xml.soap,9,8,135
com.oracle.webservices.internal.impl.encoding,9,9,135
com.oracle.webservices.internal.impl.internalspi.encoding,4,4,60
com.sun.xml.internal.ws.api.streaming,17,15,239
com.sun.xml.internal.ws.streaming,22,19,298
javax.xml.stream,9,9,135
com.sun.accessibility.internal.resources,2,2,30
com.sun.activation.registries,5,5,91
java.util.logging,20,18,300
com.sun.awt,5,5,91
java.awt,45,30,467
java.awt.geom,7,7,121
sun.awt,62,34,514
com.sun.beans,6,6,90
java.lang.ref,7,7,121
sun.reflect.generics.reflectiveObjects,10,10,150
com.sun.beans.decoder,14,13,226
com.sun.beans.finder,9,9,151
java.beans,27,20,325
javax.xml.parsers,10,10,166
org.xml.sax.helpers,6,6,106
sun.reflect.misc,11,11,165
com.sun.beans.editors,6,6,106
com.sun.beans.util,4,4,60
com.sun.beans.infos,3,3,61
com.sun.corba.se.impl.activation,26,22,342
com.sun.corba.se.impl.legacy.connection,17,14,223
com.sun.corba.se.impl.logging,7,7,137
com.sun.corba.se.impl.naming.cosnaming,16,14,240
com.sun.corba.se.impl.naming.pcosnaming,18,14,238
com.sun.corba.se.impl.oa.poa,30,22,354
com.sun.corba.se.impl.orbutil,28,25,404
com.sun.corba.se.impl.transport,34,23,366
com.sun.corba.se.pept.transport,9,8,135
com.sun.corba.se.spi.activation,9,9,151
com.sun.corba.se.spi.activation.LocatorPackage,5,5,91
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,76
com.sun.corba.se.spi.ior,16,13,208
com.sun.corba.se.spi.ior.iiop,11,10,149
com.sun.corba.se.spi.legacy.connection,7,6,105
com.sun.corba.se.spi.logging,4,4,76
com.sun.corba.se.spi.orb,38,28,442
com.sun.corba.se.spi.protocol,22,18,298
com.sun.corba.se.spi.transport,21,16,267
org.omg.CORBA,15,13,225
org.omg.CosNaming,9,8,135
com.sun.corba.se.impl.copyobject,10,9,150
com.sun.corba.se.impl.util,24,22,344
com.sun.corba.se.spi.copyobject,5,5,91
