Item,Package Size,Module Size,Redundant Count
dummy,56,10,256
org.apache.log4j.config.PropertyPrinter,8,4,167
org.apache.log4j.DailyRollingFileAppender,6,4,164
org.apache.log4j.Dispatcher,4,2,98
org.apache.log4j.EnhancedPatternLayout,7,4,143
org.apache.log4j.EnhancedThrowableRenderer,2,2,90
org.apache.log4j.helpers.UtilLoggingLevel,1,1,25
org.apache.log4j.HTMLLayout,6,3,45
org.apache.log4j.jdbc.JDBCAppender,7,4,86
org.apache.log4j.jmx.Agent,2,2,133
org.apache.log4j.lf5.DefaultLF5Configurator,3,1,90
org.apache.log4j.lf5.StartLogFactor5,3,1,47
org.apache.log4j.lf5.util.LogMonitorAdapter,4,1,46
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerLogRecordFilter,5,3,109
org.apache.log4j.LogMF,6,4,136
org.apache.log4j.LogSF,6,4,136
org.apache.log4j.net.JMSAppender,5,4,155
org.apache.log4j.net.JMSSink,4,2,98
org.apache.log4j.net.SimpleSocketServer,6,1,87
org.apache.log4j.net.SocketServer,8,4,150
org.apache.log4j.net.SyslogAppender,8,3,69
org.apache.log4j.nt.NTEventLogAppender,6,5,180
org.apache.log4j.or.jms.MessageRenderer,2,2,133
org.apache.log4j.or.sax.AttributesRenderer,1,1,41
org.apache.log4j.or.ThreadGroupRenderer,2,2,66
org.apache.log4j.pattern.ClassNamePatternConverter,3,3,64
org.apache.log4j.pattern.FileDatePatternConverter,2,1,91
org.apache.log4j.pattern.FileLocationPatternConverter,3,3,115
org.apache.log4j.pattern.FullLocationPatternConverter,3,3,115
org.apache.log4j.pattern.IntegerPatternConverter,1,1,92
org.apache.log4j.pattern.LevelPatternConverter,3,3,125
org.apache.log4j.pattern.LineLocationPatternConverter,3,3,115
org.apache.log4j.pattern.LineSeparatorPatternConverter,3,3,125
org.apache.log4j.pattern.LoggerPatternConverter,2,2,49
org.apache.log4j.pattern.MessagePatternConverter,2,2,100
org.apache.log4j.pattern.MethodLocationPatternConverter,3,3,115
org.apache.log4j.pattern.NDCPatternConverter,2,2,100
org.apache.log4j.pattern.PropertiesPatternConverter,4,3,112
org.apache.log4j.pattern.SequenceNumberPatternConverter,2,2,100
org.apache.log4j.pattern.ThreadPatternConverter,2,2,100
org.apache.log4j.pattern.ThrowableInformationPatternConverter,3,3,149
org.apache.log4j.rewrite.MapRewritePolicy,7,6,201
org.apache.log4j.rewrite.PropertyRewritePolicy,7,6,201
org.apache.log4j.rewrite.ReflectionRewritePolicy,8,6,200
org.apache.log4j.rewrite.RewriteAppender,9,6,189
org.apache.log4j.SimpleLayout,3,2,32
org.apache.log4j.spi.RootCategory,3,2,116
org.apache.log4j.spi.VectorWriter,1,1,25
org.apache.log4j.varia.DenyAllFilter,2,2,22
org.apache.log4j.varia.FallbackErrorHandler,5,3,139
org.apache.log4j.varia.LevelMatchFilter,4,4,139
org.apache.log4j.varia.LevelRangeFilter,4,3,46
org.apache.log4j.varia.NullAppender,2,2,49
org.apache.log4j.varia.ReloadingPropertyConfigurator,3,1,90
org.apache.log4j.varia.Roller,2,1,91
org.apache.log4j.varia.StringMatchFilter,3,3,114
org.apache.log4j.xml.XMLLayout,5,3,46
org.apache.log4j.Appender,4,4,88
org.apache.log4j.Layout,2,2,22
org.apache.log4j.spi.ErrorHandler,4,4,155
org.apache.log4j.spi.Filter,2,2,22
org.apache.log4j.spi.LoggingEvent,12,6,229
org.apache.log4j.AppenderSkeleton,10,5,175
org.apache.log4j.helpers.LogLog,1,1,92
org.apache.log4j.helpers.OnlyOnceErrorHandler,5,3,139
org.apache.log4j.Level,1,1,25
org.apache.log4j.Priority,1,1,25
org.apache.log4j.spi.OptionHandler,1,1,92
org.apache.log4j.AsyncAppender$DiscardSummary,6,4,136
org.apache.log4j.AsyncAppender,9,4,151
org.apache.log4j.Category,12,5,172
org.apache.log4j.Logger,6,4,149
org.apache.log4j.AsyncAppender$Dispatcher,4,2,98
org.apache.log4j.helpers.AppenderAttachableImpl,3,3,141
org.apache.log4j.spi.AppenderAttachable,1,1,41
org.apache.log4j.spi.LocationInfo,2,2,117
org.apache.log4j.BasicConfigurator,6,3,155
org.apache.log4j.ConsoleAppender,5,3,156
org.apache.log4j.LogManager,12,5,168
org.apache.log4j.PatternLayout,4,2,31
org.apache.log4j.CategoryKey,1,1,92
org.apache.log4j.helpers.NullEnumeration,1,1,92
org.apache.log4j.Hierarchy,16,6,231
org.apache.log4j.spi.HierarchyEventListener,2,2,54
org.apache.log4j.spi.LoggerRepository,6,5,191
org.apache.log4j.chainsaw.ControlPanel$1,3,2,48
org.apache.log4j.chainsaw.ControlPanel,12,3,132
org.apache.log4j.chainsaw.MyTableModel,5,3,139
org.apache.log4j.chainsaw.ControlPanel$2,2,1,23
org.apache.log4j.chainsaw.ControlPanel$3,2,1,23
org.apache.log4j.chainsaw.ControlPanel$4,2,1,23
org.apache.log4j.chainsaw.ControlPanel$5,2,1,23
org.apache.log4j.chainsaw.ControlPanel$6,2,1,23
org.apache.log4j.chainsaw.ControlPanel$7,2,1,23
org.apache.log4j.chainsaw.ExitAction,1,1,92
org.apache.log4j.chainsaw.DetailPanel,4,3,140
org.apache.log4j.chainsaw.EventDetails,4,3,47
org.apache.log4j.chainsaw.LoadXMLAction,3,3,141
org.apache.log4j.chainsaw.XMLFileHandler,4,2,47
org.apache.log4j.chainsaw.LoggingReceiver$Slurper,5,4,138
org.apache.log4j.chainsaw.LoggingReceiver,3,3,131
org.apache.log4j.chainsaw.Main$1,2,1,23
org.apache.log4j.chainsaw.Main,9,4,151
org.apache.log4j.PropertyConfigurator,22,6,226
org.apache.log4j.chainsaw.MyTableModel$1,1,1,24
org.apache.log4j.chainsaw.MyTableModel$Processor,3,1,22
org.apache.log4j.config.PropertyGetter$PropertyCallback,1,1,92
org.apache.log4j.config.PropertyGetter,2,1,91
org.apache.log4j.config.PropertySetterException,1,1,92
org.apache.log4j.config.PropertySetter,6,4,170
org.apache.log4j.helpers.OptionConverter,6,2,113
org.apache.log4j.ConsoleAppender$SystemErrStream,1,1,92
org.apache.log4j.ConsoleAppender$SystemOutStream,1,1,92
org.apache.log4j.WriterAppender,6,4,164
org.apache.log4j.FileAppender,5,3,156
org.apache.log4j.RollingCalendar,1,1,92
org.apache.log4j.DefaultCategoryFactory,2,2,113
org.apache.log4j.spi.LoggerFactory,1,1,92
org.apache.log4j.DefaultThrowableRenderer,1,1,49
org.apache.log4j.spi.ThrowableRenderer,1,1,92
org.apache.log4j.helpers.BoundedFIFO,1,1,8
org.apache.log4j.helpers.PatternConverter,2,2,49
org.apache.log4j.helpers.PatternParser,16,5,170
org.apache.log4j.pattern.BridgePatternConverter,6,2,96
org.apache.log4j.pattern.BridgePatternParser,3,2,99
org.apache.log4j.helpers.QuietWriter,1,1,41
org.apache.log4j.helpers.AbsoluteTimeDateFormat,1,1,92
org.apache.log4j.helpers.CountingQuietWriter,2,1,40
org.apache.log4j.helpers.CyclicBuffer,1,1,8
org.apache.log4j.helpers.DateLayout,6,3,45
org.apache.log4j.helpers.DateTimeDateFormat,1,1,15
org.apache.log4j.helpers.ISO8601DateFormat,1,1,15
org.apache.log4j.helpers.RelativeTimeDateFormat,1,1,92
org.apache.log4j.helpers.FileWatchdog,1,1,92
org.apache.log4j.helpers.FormattingInfo,1,1,92
org.apache.log4j.helpers.Loader,2,1,91
org.apache.log4j.helpers.MDCKeySetExtractor,2,2,100
org.apache.log4j.pattern.LogEvent,13,6,228
org.apache.log4j.spi.Configurator,1,1,92
org.apache.log4j.helpers.PatternParser$BasicPatternConverter,5,3,72
org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,4,2,47
org.apache.log4j.helpers.PatternParser$NamedPatternConverter,4,2,47
org.apache.log4j.helpers.PatternParser$ClassNamePatternConverter,5,3,62
org.apache.log4j.helpers.PatternParser$DatePatternConverter,5,3,139
org.apache.log4j.helpers.PatternParser$LiteralPatternConverter,3,1,6
org.apache.log4j.helpers.PatternParser$LocationPatternConverter,5,3,62
org.apache.log4j.helpers.PatternParser$MDCPatternConverter,4,2,47
org.apache.log4j.helpers.SyslogQuietWriter,2,1,40
org.apache.log4j.helpers.SyslogWriter,1,1,92
org.apache.log4j.helpers.ThreadLocalMap,1,1,92
org.apache.log4j.helpers.Transform,1,1,92
org.apache.log4j.or.ObjectRenderer,1,1,92
org.apache.log4j.or.RendererMap,6,2,129
org.apache.log4j.ProvisionNode,1,1,92
org.apache.log4j.spi.RendererSupport,2,2,133
org.apache.log4j.spi.ThrowableRendererSupport,1,1,49
org.apache.log4j.jmx.AbstractDynamicMBean,2,2,133
org.apache.log4j.jmx.HierarchyDynamicMBean,10,4,165
org.apache.log4j.jmx.AppenderDynamicMBean,9,4,167
org.apache.log4j.jmx.LayoutDynamicMBean,7,3,127
org.apache.log4j.jmx.MethodUnion,1,1,92
org.apache.log4j.jmx.LoggerDynamicMBean,6,4,170
org.apache.log4j.lf5.AppenderFinalizer,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor,49,6,189
org.apache.log4j.lf5.LF5Appender,11,5,132
org.apache.log4j.lf5.Log4JLogRecord,3,1,47
org.apache.log4j.lf5.LogLevel,1,1,49
org.apache.log4j.lf5.LogLevelFormatException,1,1,92
org.apache.log4j.lf5.LogRecord,1,1,49
org.apache.log4j.spi.ThrowableInformation,5,4,194
org.apache.log4j.lf5.LogRecordFilter,1,1,49
org.apache.log4j.lf5.PassingLogRecordFilter,2,1,48
org.apache.log4j.lf5.util.AdapterLogRecord,2,1,48
org.apache.log4j.lf5.util.DateFormatManager,1,1,92
org.apache.log4j.lf5.util.LogFileParser$1,1,1,15
org.apache.log4j.lf5.util.LogFileParser,8,3,151
org.apache.log4j.lf5.viewer.LogFactor5ErrorDialog,2,2,141
org.apache.log4j.lf5.viewer.LogFactor5LoadingDialog,1,1,49
org.apache.log4j.lf5.util.Resource,1,1,24
org.apache.log4j.lf5.util.ResourceUtils,1,1,24
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryAbstractCellEditor,1,1,92
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryElement,1,1,92
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel,5,3,109
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode,1,1,92
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath,1,1,41
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel$1,2,2,62
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree$1,2,1,20
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree,6,2,58
org.apache.log4j.lf5.viewer.categoryexplorer.TreeModelAdapter,1,1,92
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryImmediateEditor,3,1,19
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor,12,2,52
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeRenderer,1,1,21
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$1,3,2,61
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$2,2,1,20
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$3,2,1,20
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$4,3,2,61
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$5,3,2,61
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$6,2,1,20
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$7,2,1,20
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$8,1,1,21
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditorRenderer,1,1,21
org.apache.log4j.lf5.viewer.configure.ConfigurationManager,10,4,119
org.apache.log4j.lf5.viewer.LogTable,5,2,60
org.apache.log4j.lf5.viewer.LogTableColumn,1,1,49
org.apache.log4j.lf5.viewer.LogTableColumnFormatException,1,1,92
org.apache.log4j.lf5.viewer.configure.MRUFileManager,1,1,92
org.apache.log4j.lf5.viewer.FilteredLogTableModel,4,1,46
org.apache.log4j.lf5.viewer.LF5SwingUtils$1,1,1,92
org.apache.log4j.lf5.viewer.LF5SwingUtils,2,1,91
org.apache.log4j.lf5.viewer.TrackingAdjustmentListener,1,1,92
org.apache.log4j.lf5.viewer.LogBrokerMonitor$10,4,2,61
org.apache.log4j.lf5.viewer.LogBrokerMonitor$11,2,1,48
org.apache.log4j.lf5.viewer.LogBrokerMonitor$12,3,2,62
org.apache.log4j.lf5.viewer.LogBrokerMonitor$13,2,2,63
org.apache.log4j.lf5.viewer.LogBrokerMonitor$14,2,2,63
org.apache.log4j.lf5.viewer.LogBrokerMonitor$15,2,2,63
org.apache.log4j.lf5.viewer.LogBrokerMonitor$16,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$17,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$18,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$19,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$1,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$20,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$21,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$22,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$23,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$24,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$25,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$26,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$27,3,2,62
org.apache.log4j.lf5.viewer.LogBrokerMonitor$28,4,2,61
org.apache.log4j.lf5.viewer.LogBrokerMonitor$29,5,4,124
org.apache.log4j.lf5.viewer.LogBrokerMonitor$2,6,4,123
org.apache.log4j.lf5.viewer.LogBrokerMonitor$30,2,2,63
org.apache.log4j.lf5.viewer.LogBrokerMonitor$31,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$32,2,1,48
org.apache.log4j.lf5.viewer.LogBrokerMonitor$3,7,3,107
org.apache.log4j.lf5.viewer.LogBrokerMonitor$4,7,3,107
org.apache.log4j.lf5.viewer.LogBrokerMonitor$5,1,1,49
org.apache.log4j.lf5.viewer.LogBrokerMonitor$6,2,1,48
org.apache.log4j.lf5.viewer.LogBrokerMonitor$7,3,2,62
org.apache.log4j.lf5.viewer.LogBrokerMonitor$8,3,2,62
org.apache.log4j.lf5.viewer.LogBrokerMonitor$9,3,2,62
org.apache.log4j.lf5.viewer.LogBrokerMonitor$LogBrokerMonitorWindowAdaptor,1,1,49
org.apache.log4j.lf5.viewer.LogFactor5InputDialog,4,2,139
org.apache.log4j.lf5.viewer.LogFactor5Dialog,1,1,92
org.apache.log4j.lf5.viewer.LogFactor5ErrorDialog$1,1,1,92
