Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,5,105
java.io,23,9,161
java.lang,35,12,219
java.lang.reflect,21,6,106
java.net,28,9,169
java.nio.channels,15,4,102
java.security,25,10,200
sun.net.sdp,9,3,95
sun.nio.ch,19,5,98
com.oracle.nio,6,3,100
java.nio,12,4,98
sun.misc,38,12,188
com.oracle.webservices.internal.api,7,5,119
java.lang.annotation,3,2,55
javax.xml.ws,17,7,190
javax.xml.ws.http,2,2,67
javax.xml.ws.soap,7,4,99
javax.xml.ws.spi,15,5,153
com.oracle.webservices.internal.api.databinding,16,6,170
com.oracle.webservices.internal.api.message,15,7,208
com.sun.xml.internal.ws.api,31,9,226
com.sun.xml.internal.ws.api.databinding,22,7,174
com.sun.xml.internal.ws.model,51,14,325
java.util,35,13,200
javax.xml.namespace,6,4,133
javax.xml.transform,7,4,104
org.xml.sax,4,2,77
com.sun.xml.internal.ws.api.message,54,9,205
com.sun.xml.internal.ws.encoding,50,13,271
com.sun.xml.internal.ws.util,38,11,275
javax.xml.soap,9,3,104
com.oracle.webservices.internal.impl.encoding,9,3,122
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,109
com.sun.xml.internal.ws.api.streaming,17,8,197
com.sun.xml.internal.ws.streaming,22,10,225
javax.xml.stream,9,4,103
com.sun.accessibility.internal.resources,2,2,79
com.sun.activation.registries,5,3,108
java.util.logging,20,7,122
com.sun.awt,5,3,97
java.awt,45,12,192
java.awt.geom,7,3,78
sun.awt,62,11,177
com.sun.beans,6,3,82
java.lang.ref,7,4,103
sun.reflect.generics.reflectiveObjects,10,4,88
com.sun.beans.decoder,14,7,144
com.sun.beans.finder,9,6,96
java.beans,27,11,238
javax.xml.parsers,10,4,129
org.xml.sax.helpers,6,4,133
sun.reflect.misc,11,6,120
com.sun.beans.editors,6,3,77
com.sun.beans.util,4,3,82
com.sun.beans.infos,3,2,78
com.sun.corba.se.impl.activation,26,7,174
com.sun.corba.se.impl.legacy.connection,17,4,163
