Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,5,9
java.io,23,13,21
java.lang,35,24,43
java.lang.reflect,21,14,26
java.net,28,19,32
java.nio.channels,15,9,17
java.security,25,20,39
sun.net.sdp,9,6,13
sun.nio.ch,19,10,17
com.oracle.nio,6,5,13
java.nio,12,8,18
sun.misc,38,26,43
com.oracle.webservices.internal.api,7,6,15
java.lang.annotation,3,3,10
javax.xml.ws,17,12,24
javax.xml.ws.http,2,2,7
javax.xml.ws.soap,7,6,17
javax.xml.ws.spi,15,11,24
com.oracle.webservices.internal.api.databinding,16,10,23
com.oracle.webservices.internal.api.message,15,12,33
com.sun.xml.internal.ws.api,31,21,45
com.sun.xml.internal.ws.api.databinding,22,14,33
com.sun.xml.internal.ws.model,51,29,52
java.util,35,24,37
javax.xml.namespace,6,4,9
javax.xml.transform,7,4,9
org.xml.sax,4,2,5
com.sun.xml.internal.ws.api.message,54,30,50
com.sun.xml.internal.ws.encoding,50,29,49
com.sun.xml.internal.ws.util,38,27,55
javax.xml.soap,9,7,15
com.oracle.webservices.internal.impl.encoding,9,7,19
com.oracle.webservices.internal.impl.internalspi.encoding,4,4,15
com.sun.xml.internal.ws.api.streaming,17,9,17
com.sun.xml.internal.ws.streaming,22,14,28
javax.xml.stream,9,6,13
com.sun.accessibility.internal.resources,2,1,3
com.sun.activation.registries,5,4,10
java.util.logging,20,13,25
com.sun.awt,5,4,10
java.awt,45,27,45
java.awt.geom,7,5,13
sun.awt,62,31,48
com.sun.beans,6,4,9
java.lang.ref,7,5,12
sun.reflect.generics.reflectiveObjects,10,7,14
com.sun.beans.decoder,14,9,19
com.sun.beans.finder,9,6,12
java.beans,27,19,39
javax.xml.parsers,10,6,13
org.xml.sax.helpers,6,4,11
sun.reflect.misc,11,7,15
com.sun.beans.editors,6,5,13
com.sun.beans.util,4,3,7
com.sun.beans.infos,3,3,9
com.sun.corba.se.impl.activation,26,17,30
com.sun.corba.se.impl.legacy.connection,17,11,20
com.sun.corba.se.impl.logging,7,6,14
com.sun.corba.se.impl.naming.cosnaming,16,11,21
com.sun.corba.se.impl.naming.pcosnaming,18,12,25
com.sun.corba.se.impl.oa.poa,30,20,31
com.sun.corba.se.impl.orbutil,28,17,30
com.sun.corba.se.impl.transport,34,21,33
com.sun.corba.se.pept.transport,9,5,8
com.sun.corba.se.spi.activation,9,6,11
com.sun.corba.se.spi.activation.LocatorPackage,5,4,9
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,9
com.sun.corba.se.spi.ior,16,12,25
com.sun.corba.se.spi.ior.iiop,11,7,14
com.sun.corba.se.spi.legacy.connection,7,6,13
com.sun.corba.se.spi.logging,4,3,7
com.sun.corba.se.spi.orb,38,26,43
com.sun.corba.se.spi.protocol,22,14,25
