Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,3,246
java.io,23,6,421
java.lang,35,9,465
java.lang.reflect,21,7,445
java.net,28,6,421
java.nio.channels,15,5,357
java.security,25,8,434
sun.net.sdp,9,3,246
sun.nio.ch,19,5,353
com.oracle.nio,6,3,249
java.nio,12,5,360
sun.misc,38,9,462
com.oracle.webservices.internal.api,7,5,346
java.lang.annotation,3,3,83
javax.xml.ws,17,7,483
javax.xml.ws.http,2,2,103
javax.xml.ws.soap,7,6,378
javax.xml.ws.spi,15,7,485
com.oracle.webservices.internal.api.databinding,16,7,484
com.oracle.webservices.internal.api.message,15,6,370
com.sun.xml.internal.ws.api,31,7,469
com.sun.xml.internal.ws.api.databinding,22,7,478
com.sun.xml.internal.ws.model,51,9,509
java.util,35,9,516
javax.xml.namespace,6,4,245
javax.xml.transform,7,3,248
org.xml.sax,4,3,133
com.sun.xml.internal.ws.api.message,54,8,478
com.sun.xml.internal.ws.encoding,50,8,487
com.sun.xml.internal.ws.util,38,9,561
javax.xml.soap,9,6,461
com.oracle.webservices.internal.impl.encoding,9,5,396
com.oracle.webservices.internal.impl.internalspi.encoding,4,3,95
com.sun.xml.internal.ws.api.streaming,17,6,433
com.sun.xml.internal.ws.streaming,22,6,448
javax.xml.stream,9,5,388
com.sun.accessibility.internal.resources,2,2,62
com.sun.activation.registries,5,3,86
java.util.logging,20,6,359
com.sun.awt,5,4,263
java.awt,45,11,550
java.awt.geom,7,4,261
sun.awt,62,10,460
com.sun.beans,6,4,321
java.lang.ref,7,3,248
sun.reflect.generics.reflectiveObjects,10,5,263
com.sun.beans.decoder,14,5,429
com.sun.beans.finder,9,5,433
java.beans,27,10,575
javax.xml.parsers,10,4,318
org.xml.sax.helpers,6,3,131
sun.reflect.misc,11,5,431
com.sun.beans.editors,6,3,249
com.sun.beans.util,4,3,251
com.sun.beans.infos,3,2,220
com.sun.corba.se.impl.activation,26,6,285
com.sun.corba.se.impl.legacy.connection,17,5,281
com.sun.corba.se.impl.logging,7,5,291
com.sun.corba.se.impl.naming.cosnaming,16,7,303
com.sun.corba.se.impl.naming.pcosnaming,18,7,301
com.sun.corba.se.impl.oa.poa,30,8,294
com.sun.corba.se.impl.orbutil,28,8,315
com.sun.corba.se.impl.transport,34,8,310
com.sun.corba.se.pept.transport,9,4,283
com.sun.corba.se.spi.activation,9,5,79
com.sun.corba.se.spi.activation.LocatorPackage,5,4,51
com.sun.corba.se.spi.activation.RepositoryPackage,4,4,52
com.sun.corba.se.spi.ior,16,6,287
com.sun.corba.se.spi.ior.iiop,11,4,254
com.sun.corba.se.spi.legacy.connection,7,5,291
com.sun.corba.se.spi.logging,4,3,97
com.sun.corba.se.spi.orb,38,10,433
com.sun.corba.se.spi.protocol,22,7,294
com.sun.corba.se.spi.transport,21,6,310
org.omg.CORBA,15,9,482
org.omg.CosNaming,9,7,278
com.sun.corba.se.impl.copyobject,10,6,289
com.sun.corba.se.impl.util,24,8,320
com.sun.corba.se.spi.copyobject,5,3,224
java.rmi,8,4,280
org.omg.CORBA.portable,7,5,140
org.omg.CORBA_2_3.portable,6,4,69
com.sun.corba.se.impl.corba,21,7,354
com.sun.corba.se.impl.encoding,39,8,369
com.sun.corba.se.impl.io,21,7,315
com.sun.corba.se.pept.encoding,3,3,98
com.sun.corba.se.spi.presentation.rmi,17,8,327
java.math,7,5,435
javax.rmi.CORBA,14,7,322
org.omg.CORBA.TypeCodePackage,2,2,36
