Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,2,125
java.io,23,2,112
java.lang,35,2,100
java.lang.reflect,21,2,114
java.net,28,3,108
java.nio.channels,15,1,117
java.security,25,2,110
sun.net.sdp,9,2,126
sun.nio.ch,19,3,117
com.oracle.nio,6,3,131
java.nio,12,2,123
sun.misc,38,2,97
com.oracle.webservices.internal.api,7,2,259
java.lang.annotation,3,1,129
javax.xml.ws,17,4,411
javax.xml.ws.http,2,2,264
javax.xml.ws.soap,7,2,259
javax.xml.ws.spi,15,4,413
com.oracle.webservices.internal.api.databinding,16,3,356
com.oracle.webservices.internal.api.message,15,3,357
com.sun.xml.internal.ws.api,31,4,397
com.sun.xml.internal.ws.api.databinding,22,3,350
com.sun.xml.internal.ws.model,51,6,393
java.util,35,2,100
javax.xml.namespace,6,2,232
javax.xml.transform,7,2,231
org.xml.sax,4,2,234
com.sun.xml.internal.ws.api.message,54,6,379
com.sun.xml.internal.ws.encoding,50,8,500
com.sun.xml.internal.ws.util,38,7,396
javax.xml.soap,9,4,365
com.oracle.webservices.internal.impl.encoding,9,3,363
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,262
com.sun.xml.internal.ws.api.streaming,17,4,358
com.sun.xml.internal.ws.streaming,22,4,406
javax.xml.stream,9,2,229
com.sun.accessibility.internal.resources,2,1,130
com.sun.activation.registries,5,3,132
java.util.logging,20,4,234
com.sun.awt,5,2,243
java.awt,45,4,207
java.awt.geom,7,2,241
sun.awt,62,5,191
com.sun.beans,6,2,242
java.lang.ref,7,2,128
sun.reflect.generics.reflectiveObjects,10,1,122
com.sun.beans.decoder,14,4,343
com.sun.beans.finder,9,2,239
java.beans,27,3,327
javax.xml.parsers,10,2,228
org.xml.sax.helpers,6,2,232
sun.reflect.misc,11,2,124
com.sun.beans.editors,6,2,242
com.sun.beans.util,4,2,244
com.sun.beans.infos,3,2,245
com.sun.corba.se.impl.activation,26,2,214
com.sun.corba.se.impl.legacy.connection,17,2,223
com.sun.corba.se.impl.logging,7,3,236
com.sun.corba.se.impl.naming.cosnaming,16,3,227
com.sun.corba.se.impl.naming.pcosnaming,18,2,222
com.sun.corba.se.impl.oa.poa,30,2,210
com.sun.corba.se.impl.orbutil,28,3,225
com.sun.corba.se.impl.transport,34,2,206
com.sun.corba.se.pept.transport,9,2,231
com.sun.corba.se.spi.activation,9,2,231
com.sun.corba.se.spi.activation.LocatorPackage,5,2,235
com.sun.corba.se.spi.activation.RepositoryPackage,4,2,236
com.sun.corba.se.spi.ior,16,2,224
com.sun.corba.se.spi.ior.iiop,11,2,229
com.sun.corba.se.spi.legacy.connection,7,2,233
com.sun.corba.se.spi.logging,4,3,239
com.sun.corba.se.spi.orb,38,4,321
com.sun.corba.se.spi.protocol,22,2,218
com.sun.corba.se.spi.transport,21,2,219
org.omg.CORBA,15,3,341
org.omg.CosNaming,9,2,231
com.sun.corba.se.impl.copyobject,10,3,243
com.sun.corba.se.impl.util,24,3,229
com.sun.corba.se.spi.copyobject,5,2,235
java.rmi,8,3,140
org.omg.CORBA.portable,7,2,233
org.omg.CORBA_2_3.portable,6,2,234
com.sun.corba.se.impl.corba,21,2,219
com.sun.corba.se.impl.encoding,39,3,214
com.sun.corba.se.impl.io,21,4,235
com.sun.corba.se.pept.encoding,3,2,237
com.sun.corba.se.spi.presentation.rmi,17,3,236
java.math,7,2,128
javax.rmi.CORBA,14,3,239
org.omg.CORBA.TypeCodePackage,2,2,238
sun.corba,18,3,225
com.sun.corba.se.impl.dynamicany,16,2,224
org.omg.CORBA.ORBPackage,2,2,238
org.omg.DynamicAny,8,2,232
org.omg.DynamicAny.DynAnyFactoryPackage,4,2,236
org.omg.DynamicAny.DynAnyPackage,4,2,236
com.sun.corba.se.impl.protocol,36,3,217
com.sun.corba.se.impl.protocol.giopmsgheaders,21,2,219
com.sun.corba.se.pept.protocol,7,2,233
com.sun.corba.se.spi.encoding,6,2,234
com.sun.org.omg.CORBA,5,2,235
com.sun.org.omg.CORBA.ValueDefPackage,5,2,235
com.sun.org.omg.CORBA.portable,3,2,237
com.sun.org.omg.SendingContext,10,2,230
java.nio.charset,11,2,124
org.omg.SendingContext,4,2,236
com.sun.corba.se.impl.interceptors,41,2,199
com.sun.corba.se.pept.broker,3,2,237
com.sun.corba.se.spi.legacy.interceptor,5,2,235
com.sun.corba.se.spi.oa,17,3,236
com.sun.corba.se.spi.orbutil.closure,3,2,237
com.sun.corba.se.spi.resolver,8,2,232
com.sun.corba.se.spi.servicecontext,20,2,220
org.omg.Dynamic,3,2,237
org.omg.IOP,6,2,234
org.omg.IOP.CodecFactoryPackage,4,2,236
org.omg.IOP.CodecPackage,4,2,236
org.omg.Messaging,3,2,237
org.omg.PortableInterceptor,9,2,231
org.omg.PortableInterceptor.ORBInitInfoPackage,4,2,236
org.omg.PortableServer,13,2,227
com.sun.corba.se.impl.ior,24,3,219
com.sun.corba.se.impl.ior.iiop,22,2,218
com.sun.corba.se.impl.javax.rmi,8,3,245
java.rmi.server,16,3,132
com.sun.corba.se.impl.javax.rmi.CORBA,28,4,226
com.sun.corba.se.impl.presentation.rmi,28,3,225
javax.transaction,2,2,143
com.sun.corba.se.impl.monitoring,4,2,236
com.sun.corba.se.spi.monitoring,5,2,235
com.sun.corba.se.impl.naming.namingutil,8,2,232
com.sun.corba.se.org.omg.CORBA,4,2,236
org.omg.CosNaming.NamingContextExtPackage,4,2,236
org.omg.CosNaming.NamingContextPackage,5,2,235
org.omg.PortableServer.POAPackage,4,2,236
org.omg.PortableServer.ServantLocatorPackage,3,2,237
com.sun.corba.se.impl.oa,3,2,237
com.sun.corba.se.impl.orbutil.concurrent,4,2,236
com.sun.corba.se.spi.extension,5,2,235
com.sun.corba.se.spi.orbutil.fsm,6,2,234
org.omg.PortableServer.CurrentPackage,4,2,236
org.omg.PortableServer.POAManagerPackage,4,2,236
org.omg.PortableServer.portable,3,2,237
com.sun.corba.se.impl.oa.toa,23,2,217
com.sun.corba.se.impl.orb,55,4,314
com.sun.corba.se.impl.orbutil.threadpool,12,2,228
com.sun.corba.se.spi.orbutil.threadpool,3,2,237
java.applet,9,2,239
java.text,16,2,119
com.sun.corba.se.impl.orbutil.closure,2,2,238
com.sun.corba.se.impl.orbutil.fsm,6,2,234
com.sun.corba.se.impl.orbutil.graph,3,2,237
java.util.concurrent.atomic,11,2,124
com.sun.corba.se.spi.orbutil.proxy,10,2,230
javax.rmi,12,3,241
org.omg.CORBA_2_3,3,2,237
java.util.concurrent,14,2,121
com.sun.corba.se.impl.resolver,19,2,221
org.omg.stub.java.rmi,3,3,250
com.sun.corba.se.internal.CosNaming,8,2,232
com.sun.corba.se.internal.Interceptors,1,1,107
com.sun.corba.se.internal.POA,1,1,107
com.sun.corba.se.internal.iiop,1,1,107
com.sun.corba.se.internal.corba,1,1,107
com.sun.corba.se.spi.activation.InitialNameServicePackage,4,2,236
com.sun.imageio.plugins.bmp,17,3,337
com.sun.imageio.plugins.common,11,2,237
java.awt.color,6,2,242
java.awt.image,11,2,237
javax.imageio,16,2,232
javax.imageio.event,4,2,244
javax.imageio.metadata,8,3,346
javax.imageio.plugins.bmp,4,2,244
javax.imageio.spi,18,2,230
javax.imageio.stream,10,2,238
org.w3c.dom,2,2,236
com.sun.imageio.plugins.gif,15,3,339
sun.awt.image,32,3,219
com.sun.imageio.plugins.jpeg,16,3,338
javax.imageio.plugins.jpeg,5,2,243
sun.java2d,24,3,227
com.sun.imageio.plugins.png,15,3,339
java.util.zip,14,2,121
com.sun.imageio.plugins.wbmp,12,3,342
com.sun.imageio.spi,5,2,243
com.sun.imageio.stream,7,2,241
com.sun.istack.internal,12,4,284
javax.activation,9,4,242
com.sun.istack.internal.localization,4,2,184
com.sun.istack.internal.logging,3,2,132
com.sun.java.swing,37,2,211
javax.swing,53,4,199
com.sun.java.swing.plaf.gtk,36,3,318
java.awt.event,11,2,237
javax.accessibility,10,3,239
javax.swing.border,8,2,240
javax.swing.colorchooser,15,2,233
javax.swing.event,15,2,233
javax.swing.filechooser,11,2,237
javax.swing.plaf,12,2,236
javax.swing.plaf.basic,40,3,209
javax.swing.plaf.synth,34,3,320
javax.swing.table,17,2,231
javax.swing.text,33,3,216
sun.awt.shell,8,2,240
sun.font,33,3,218
sun.security.action,4,1,128
sun.swing,40,3,211
sun.swing.plaf.synth,19,2,229
com.sun.java.swing.plaf.gtk.resources,2,1,130
com.sun.java.swing.plaf.motif,18,2,230
javax.swing.tree,13,2,235
com.sun.java.swing.plaf.motif.resources,2,1,130
com.sun.java.swing.plaf.nimbus,2,2,246
javax.swing.plaf.nimbus,23,2,225
sun.awt.windows,2,2,246
sun.swing.table,10,2,238
com.sun.java.swing.plaf.windows.resources,2,1,130
com.sun.java.util.jar.pack,14,2,234
java.nio.file,17,1,115
java.nio.file.attribute,8,1,124
java.util.jar,16,3,235
sun.util.logging,9,2,126
com.sun.java_cup.internal.runtime,4,2,234
com.sun.jmx.defaults,2,2,133
com.sun.jmx.interceptor,12,3,141
com.sun.jmx.mbeanserver,17,3,136
com.sun.jmx.remote.util,13,3,140
javax.management,17,3,136
javax.management.loading,13,3,140
java.util.concurrent.locks,7,2,128
javax.management.openmbean,12,3,141
com.sun.jmx.remote.internal,14,3,149
com.sun.jmx.remote.security,18,3,134
javax.management.remote,11,2,139
javax.security.auth,9,2,126
com.sun.jmx.remote.protocol.rmi,7,3,145
javax.management.remote.rmi,31,6,258
java.security.cert,13,2,122
java.util.regex,11,1,121
javax.security.auth.callback,4,1,128
javax.security.auth.login,11,1,121
javax.security.auth.spi,5,1,127
sun.management.jmxremote,26,6,144
com.sun.jmx.snmp,10,4,155
com.sun.jmx.snmp.internal,9,4,156
com.sun.jmx.snmp.IPAcl,10,4,155
java.security.acl,4,1,128
com.sun.jmx.snmp.agent,9,4,156
com.sun.jmx.snmp.daemon,14,4,151
com.sun.jmx.snmp.tasks,3,2,141
com.sun.jmx.snmp.defaults,3,1,129
com.sun.jmx.snmp.mpm,2,2,142
com.sun.jndi.dns,17,3,133
